address,name,address2 ,city,postcode ,lat,lng,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level
The Eaton Centre,The Eaton Centre,3 Eaton Gardens,"Hove,East Sussex",BN3 3TL,50.83166,-0.16969,"Brighton and Hove, BN3 3TL, United Kingdom",Brighton and Hove,,,BN3 3TL,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
Elm Grove Medical Centre,Elm Grove Medical Centre,151 Elm Grove,"Brighton,East Sussex",BN2 3ES,50.8320313,-0.122937164,"Elm Grove Primary School, Elm Grove, Brighton, BN2 3ES, United Kingdom",Elm Grove Primary School,,Elm Grove,BN2 3ES,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.7695,1,0.81
Preston Park Surgery,Preston Park Surgery,2a Florence Road,"Brighton,East Sussex",BN1 6DP,50.8437617,-0.1457454,"Preston Park, Preston Drove entrance, The Gallop, Brighton, BN1 6PA, United Kingdom","Preston Park, Preston Drove entrance",,The Gallop,BN1 6PA,,Preston,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.567,1,0.567
Foxhill Medical Centre,Foxhill Medical Centre,"11 Foxhill, Heath Brow","Peacehaven, Brighton,East Sussex",BN10 7SE,50.802552,0.0003,"Foxhill, Peacehaven, BN10 7SE, United Kingdom",,,Foxhill,BN10 7SE,Peacehaven,,Peacehaven,East Sussex,ESX,England,ENG,United Kingdom,gb,0.2025,0.25,0.2025
Cuckfield Medical Practice,Cuckfield Medical Practice,Glebe Road,"Cuckfield,West Sussex",RH17 5BQ,51.09588435,-0.202882525,"Coachmans Medical Practice, Coachman's Drive, Crawley, RH11 9YZ, United Kingdom",Coachmans Medical Practice,,Coachman's Drive,RH11 9YZ,,,Crawley,West Sussex,WSX,England,ENG,United Kingdom,gb,0.02,0.3,0.066666667
Lindfield Medical Centre,The Medical Centre,High Street,"Lindfield,West Sussex",RH16 2HX,51.0130076,-0.0816959,"Lindfield (Mid Sussex), RH16 2HX, United Kingdom",Lindfield,,,RH16 2HX,,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.7,1,
North Laine Medical Centre,North Laine Medical Centre,12-14 Gloucester Street,"Brighton,East Sussex",BN1 4EW,50.8277004,-0.1370235,"Brighton and Hove, BN1 4EW, United Kingdom",Brighton and Hove,,,BN1 4EW,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
Hassocks Health Centre 2,Hassocks 2 Health Centre,Windmill Avenue,"Hassocks,West Sussex",BN6 8LY,50.92218,-0.1401399,"Hassocks (Mid Sussex), BN6 8LY, United Kingdom",Hassocks,,,BN6 8LY,,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.7,1,
The Practice Willow House,50 Heath Hill Avenue,Lower Bevendean,"Brighton,East Sussex",BN2 4FH,50.8428289,-0.1045201,"50 Heath Hill Avenue, Brighton, BN2 4FH, United Kingdom",,50,Heath Hill Avenue,BN2 4FH,,Bevendean,Brighton,East Sussex,ESX,England,ENG,United Kingdom,gb,1,1,1
Henfield Medical Centre,Henfield Medical Centre,Deer Park,"Henfield,West Sussex",BN5 9JQ,50.93498815,-0.285663625,"Henfield Guides, Staples Barn, Horsham, BN5 9PP, United Kingdom",Henfield Guides,,Staples Barn,BN5 9PP,Henfield,,Horsham,West Sussex,WSX,England,ENG,United Kingdom,gb,0.63,1,0.63
The Firs,The Firs,50 Highcroft Villas,"Brighton,East Sussex",BN1 5PT,50.8246101,-0.1573632,"The Old Market, 11A Upper Market Street, Hove, BN3 1AS, United Kingdom",The Old Market,11A,Upper Market Street,BN3 1AS,,Brunswick,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.026040609000000003,0.3,0.15309000000000003
18 Hove Park Villas,The Surgery,18 Hove Park Villas,"Hove,East Sussex",BN3 6HG,50.836887000000004,-0.170071732,"Hove Park Villas Surgery, 18 Hove Park Villas, Hove, BN3 6HG, United Kingdom",Hove Park Villas Surgery,18,Hove Park Villas,BN3 6HG,,West Blatchington,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.9,1,1
21 Ingham Drive,The Surgery,21 Ingham Drive,"Brighton,East Sussex",BN1 9GL,50.8619025,-0.11182,"Ingham Drive, Brighton, BN1 9GL, United Kingdom",Ingham Drive,,Ingham Drive,BN1 9GL,,Coldean,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.7,1,1
79 Islingword Road,The Surgery,79 Islingword Road,"Brighton,East Sussex",BN2 2SL,50.8278819,-0.1249444,"Stanford Medical Centre, 79 Islingword Road, Brighton, BN2 9SL, United Kingdom",Stanford Medical Centre,79,Islingword Road,BN2 9SL,,Queen's Park,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
Park Crescent New Surgery,Park Crescent New Surgery,1 Lewes Road,"Brighton, E Sussex",BN2 3JJ,50.83238875,-0.130247903,"39 Park Crescent, Brighton, BN2 3HB, United Kingdom",,39,Park Crescent,BN2 3HB,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.24499999999999997,0.7,0.35
188 Lewes Road,The Surgery,188/189 Lewes Road,"Brighton,East Sussex",BN2 3LA,50.832295,-0.1295299,"Lewes Road, Brighton, BN2 3JJ, United Kingdom",Lewes Road,,Lewes Road,BN2 3JJ,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
27 Links Road,The Surgery,27 - 29 Links Road,"Portslade,Sussex",BN41 1XH,50.8370702,-0.207376512,"Links Road Surgery, 27/29 Links Road, Portslade by Sea, BN41 1XH, United Kingdom",Links Road Surgery,27/29,Links Road,BN41 1XH,,Portslade Village,Portslade by Sea,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.855,1,1
Saltdean & Rottingdean Practice,Saltdean & Rottingdean Practice,"Grand Ocean, Longridge Avenue","Saltdean,East Sussex",BN2 8BU,50.8023,-0.0358,"Saltdean, BN2 8BU, United Kingdom",BN2 8BU,,,BN2 8BU,,,Saltdean,The City of Brighton and Hove,,,,United Kingdom,gb,0.7,1,
Park View Health Partnership,Park View Health Partnership,"Sidney West PCC, Leylands Road","Burgess Hill, West Sussex",RH15 8HS,50.965196,-0.125541,"Leylands Park, Mid Sussex, RH15 8HS, United Kingdom",,,Leylands Park,RH15 8HS,Burgess Hill,World's End,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.29411764705882354,1,0.29411764705882354
10 Matlock Road,The Surgery,10 Matlock Road,"Brighton,East Sussex",BN1 5BF,50.8432313,-0.1582017,"Matlock Surgery, 10 Matlock Road, Brighton, BN1 5BF, United Kingdom",Matlock Surgery,10,Matlock Road,BN1 5BF,,Preston,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.9,1,1
1 Meadow Parade,The Surgery,1 Meadow Parade,"Rottingdean, Brighton,East Sussex",BN2 7FA,50.812169,-0.062357,"Rottingdean (Rottingdean), BN2 7FA, United Kingdom",BN2 7FA,,,BN2 7FA,Rottingdean,,Rottingdean,The City of Brighton and Hove,,,,United Kingdom,gb,0.6,1,
Havens Health (Meridian Surgery),Meridian Surgery,"Co-op Car Park, Meridian Way","Peacehaven,East Sussex",BN10 8NF,50.7962058,-0.0006364,"Meridian Shopping Centre, Peacehaven, BN10 8NF, United Kingdom",Meridian Shopping Centre,,,BN10 8NF,,Peacehaven,Peacehaven,East Sussex,ESX,England,ENG,United Kingdom,gb,0,1,
Mile Oak Medical Centre,Mile Oak Medical Centre,Chalky Road,"Portslade,East Sussex",BN41 2WF,50.8579818,-0.2368486,"Mile Oak Farm, Mile Oak Road, Portslade by Sea, BN41 2RF, United Kingdom",Mile Oak Farm,,Mile Oak Road,BN41 2RF,,Mile Oak,Portslade by Sea,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.3086999999999999,0.7,0.44099999999999995
Seven Dials Medical Centre,Seven Dials Medical Centre,24 Montpelier Crescent,"Brighton, East Sussex",BN1 3JJ,50.8308292,-0.1472019,"Seven Dials, Buckingham Place, Brighton, BN1 3TD, United Kingdom",Seven Dials,,Buckingham Place,BN1 3TD,,Prestonville,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.81,1,0.81
ARCH Healthcare,ARCH Healthcare,Morley Street,"Brighton, East Sussex",BN2 2RA,50.824536,-0.156941,"Waterloo Street Arch, Brighton and Hove, BN2 2RA, United Kingdom",,,Waterloo Street Arch,BN2 2RA,,,Brighton and Hove,East Sussex,ESX,England,ENG,United Kingdom,gb,0,,
Wish Park Surgery,Wish Park Surgery,191 Portland Road,"Hove,East Sussex",BN3 5JA,50.8345981,-0.190458,"Brighton and Hove, BN3 5JA, United Kingdom",Brighton and Hove,,,BN3 5JA,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
Newick Health Centre,Newick Health Centre,"Marbles Road, The Green","Newick,East Sussex",BN8 4LR,50.97418785,0.018052609,"Newick Community Centre, The Green, Lewes, BN8 4LB, United Kingdom",Newick Community Centre,,The Green,BN8 4LB,Newick,Newick,Lewes,East Sussex,ESX,England,ENG,United Kingdom,gb,0.081666667,0.7,0.11666666666666665
Newtons Practice,Newtons,"Health Centre, Heath Rd.","Haywards Heath, West Sussex",RH16 3BB,51.0006118,-0.1039088,"Haywards Heath (Mid Sussex), RH16 3BB, United Kingdom",Haywards Heath,,,RH16 3BB,,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.7,1,
Hangleton Manor Surgery,Hangleton Manor Surgery,96 Northease Drive,"Hove, East Sussex",BN3 8LH,50.845045,-0.1927297,"Warr Newsagents, 214 Hangleton Road, Hove, BN3 7LP, United Kingdom",Warr Newsagents,214,Hangleton Road,BN3 7LP,,Hangleton,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.21608999999999992,0.7,0.3086999999999999
4 Old Steine,The Surgery,4 Old Steine,"Brighton, East Sussex",BN1 1EJ,50.8220199,-0.1361165,"Regency Surgery, 4 Old Steine, Brighton, BN2 1RA, United Kingdom",Regency Surgery,4,Old Steine,BN2 1RA,,Queen's Park,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.09,0.33333333333333337,0.33333333333333337
Old School Surgery,Old School Surgery,Church Street,"Seaford, East Sussex",BN25 1HH,50.7715156,0.10138317576295457,"Old Plough, 20 Church Street, Seaford, BN25 1HG, United Kingdom",Old Plough,20,Church Street,BN25 1HG,Seaford Civil Parish,East Blatchington,Seaford,East Sussex,ESX,England,ENG,United Kingdom,gb,0.19448099999999996,0.7,0.27782999999999997
St Peters Medical Practice,St Peters Medical Practice,30 - 36 Oxford Street,"Brighton,East Sussex",BN1 4LA,50.83088788,-0.13521915,"Brighton and Hove, BN1 4LA, United Kingdom",Brighton and Hove,,,BN1 4LA,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
Harbour View Medical Practice,Harbour View Medical Practice,Pond Road,"Shoreham-by Sea, West Sussex",BN43 5US,50.8338214,-0.2742787,"Adur, BN43 5US, United Kingdom",Adur,,,BN43 5US,,,Adur,West Sussex,WSX,England,ENG,United Kingdom,gb,0.7,1,
145 Portland Road,The Surgery,145 Portland Road,"Hove,East Sussex",BN3 5QJ,50.8336452,-0.1879946,"Portland Road, Hove, BN3 5QT, United Kingdom",Portland Road,,Portland Road,BN3 5QT,,Aldrington,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
Portslade Health Centre,Portslade Health Centre,Church Road,"Portslade,Sussex",BN41 1LX,50.8335609,-0.213418532,"Portslade Health Centre, 69 Church Road, Portslade by Sea, BN41 1LB, United Kingdom",Portslade Health Centre,69,Church Road,BN41 1LB,,Portslade Village,Portslade by Sea,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,0.7,
Quayside Medical Practice,Quayside Medical Practice,Chapel Street,"Newhaven,East Sussex",BN9 9PW,50.79311,0.05121,"Mount Pleasant (Newhaven), BN9 9PW, United Kingdom",Newhaven,,,BN9 9PW,,,Newhaven,East Sussex,ESX,England,ENG,United Kingdom,gb,0.7,1,
Queens Road Surgery,The Surgery,65-67 Ship Street,"Brighton, East Sussex",BN1 1AE,50.8242977,-0.1430587,"Asiamart, 130 Queen's Road, Brighton, BN1 3WB, United Kingdom",Asiamart,130,Queen's Road,BN1 3WB,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.32666666666666666,0.7,0.4666666666666667
Woodingdean Medical Centre,The Surgery,Warren Road,"Brighton, East Sussex",BN2 6BA,50.835783750000004,-0.078061479,"Woodingdean Medical Centre, Warren Road, Brighton, BN2 6BA, United Kingdom",Woodingdean Medical Centre,,Warren Road,BN2 6BA,,Woodingdean,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,1,1,1
130 The Ridgway,The Surgery,130 The Ridgway,"Woodingdean, Brighton, East Sussex",BN2 6PB,50.8302108,-0.07052115,"130A The Ridgway, Ovingdean, BN2 6PA, United Kingdom",,130A,The Ridgway,BN2 6PA,,Woodingdean,Ovingdean,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.41894999999999993,0.7,0.7
River Lodge Surgery,River Lodge Surgery,Malling Street,"Lewes,East Sussex",BN7 2RD,50.87484,0.01882,"Lewes, BN7 2RD, United Kingdom",Lewes,,,BN7 2RD,,,Lewes,East Sussex,ESX,England,ENG,United Kingdom,gb,0.7,1,
Rowe Avenue Surgery,Rowe Avenue Surgery,17 Rowe Avenue,"Peacehaven, Brighton, East Sussex",BN9 7PE,50.7928083,-0.0050893,"Rowe Avenue Surgery, 17 Rowe Avenue, Peacehaven, BN10 7PE, United Kingdom",Rowe Avenue Surgery,17,Rowe Avenue,BN10 7PE,Peacehaven,Peacehaven,Peacehaven,East Sussex,ESX,England,ENG,United Kingdom,gb,0.16666666666666669,0.25,0.16666666666666669
"20 Sackville Road, Hove",The Surgery,20 Sackville Road,"Hove, East Sussex",BN3 3FF,50.8334295,-0.1772711,"Sackville Road, Hove, BN3 3WE, United Kingdom",Sackville Road,,Sackville Road,BN3 3WE,,Aldrington,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
Seaford Health Centre,Seaford Health Centre,Dane Road,"Seaford, East Sussex",BN25 1DH,50.772619,0.099489,"Seaford Heath Centre, Seaford, BN25 1DH, United Kingdom",Seaford Heath Centre,,,BN25 1DH,Seaford Civil Parish,,Seaford,East Sussex,ESX,England,ENG,United Kingdom,gb,0.25,0.33333333333333337,0.25
The Foundry Healthcare Lewes,School Hill House,High Street,"Lewes, East Sussex",BN7 2LU,50.87327266666667,0.011654866666666668,"Lewes, BN7 2LU, United Kingdom",Lewes,,,BN7 2LU,,,Lewes,East Sussex,ESX,England,ENG,United Kingdom,gb,0.7,1,
"Ship Street Surgery, Brighton",Ship Street Surgery,65/67 Ship Street,"Brighton,East Sussex",BN1 1AE,50.8216116,-0.1417199,"Curry Leaf Cafe, 60 Ship Street, Brighton, BN1 1AE, United Kingdom",Curry Leaf Cafe,60,Ship Street,BN1 1AE,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.5,1,0.5
School House Surgery,School House Surgery,Hertford Road,"Brighton, East Sussex",BN1 7GF,50.9091106,-0.554782686,"Dorset House School, Church Lane, Chichester, RH20 1PB, United Kingdom",Dorset House School,,Church Lane,RH20 1PB,,Bury,Chichester,West Sussex,WSX,England,ENG,United Kingdom,gb,0.0388962,0.2,0.0388962
Silverdale Practice,Silverdale Practice,4 Silverdale Road,"Burgess Hill, West Sussex",RH15 0EF,50.9528313,-0.12168221,"Burgess Hill (Mid Sussex), RH15 0EF, United Kingdom",Burgess Hill,,,RH15 0EF,,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.7,1,
"Manor Practice, Southwick Street",The Manor Practice,Southwick Street,"Southwick, West Sussex",BN42 4TA,50.8350718,-0.234807433,"The Manor Practice, Southwick Street, Brighton, BN42 4TA, United Kingdom",The Manor Practice,,Southwick Street,BN42 4TA,,,Brighton,West Sussex,WSX,England,ENG,United Kingdom,gb,1,1,1
"St Peters Close, Cowfold",The Surgery,St Peter's Close,"Cowfold, West Sussex",RH13 8DW,50.988638807692304,-0.272438054,"Cowfold (Horsham), RH13 8DW, United Kingdom",Cowfold,,,RH13 8DW,,,Horsham,West Sussex,WSX,England,ENG,United Kingdom,gb,0.6,1,
120 Stanford Avenue,The Surgery,120 Stanford Avenue,"Brighton, East Sussex",BN1 6FE,50.8427902,-0.1348768,"Charley Barley's Nursery, 120 Stanford Avenue, Brighton, BN1 6FA, United Kingdom",Charley Barley's Nursery,120,Stanford Avenue,BN1 6FA,,Hollingdean,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
St Andrews Surgery,St Andrews Surgery,Southover Road,"Lewes, East Sussex",BN7 1US,50.87181,0.01098,"Lewes, BN7 1US, United Kingdom",Lewes,,,BN7 1US,,,Lewes,East Sussex,ESX,England,ENG,United Kingdom,gb,0.7,1,
31 St James Avenue C/O Laura Wade,Primary Care Commisioner,Prestamex House,"171 -173 Preston Road, Brighton",BN1 6AG,50.83838,-0.14829,"Brighton and Hove, BN1 6AG, United Kingdom",Brighton and Hove,,,BN1 6AG,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
St Lukes Surgery,St Lukes Surgery,"Grand Ocean, Longridge Avenue","Saltdean, East Sussex",BN2 8BU,50.8023,-0.0358,"Brighton and Hove, BN2 8BU, United Kingdom",Brighton and Hove,,,BN2 8BU,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
The Meadows Surgery,The Meadows Surgery,Temple Grove,"Burgess Hill,West Sussex",RH15 9XN,50.963439,-0.14057,"Shepherds Mead, Mid Sussex, RH15 9XN, United Kingdom",,,Shepherds Mead,RH15 9XN,Burgess Hill,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.3333333333333333,1,0.3333333333333333
"Trinity Road HC, Hurstpierpoint",The Health Centre,Trinity Road,"Hurstpierpoint, West Sussex",BN6 9UQ,50.933627,-0.174909,"Health Centre car park, Trinity Road, Mid Sussex, BN6 9QU, United Kingdom",Health Centre car park,,Trinity Road,BN6 9QU,Hurstpierpoint and Sayers Common,Hurstpierpoint and Sayers Common,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.2646,0.7,0.4666666666666667
Brighton University (Falmer) HC,"Patcham House P Block, Brighton Uni",Village Way,"Falmer,East Sussex",BN1 9PH,50.86004051818182,-0.0862559,"Brighton and Hove, BN1 9PH, United Kingdom",Brighton and Hove,,,BN1 9PH,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
42 Upper Rock Gardens,The Surgery,42 Upper Rock Gardens,"Brighton, East Sussex",BN2 1QF,50.8210799,-0.129516714,"42 Upper Rock Gardens, Brighton, BN2 1QE, United Kingdom",,42,Upper Rock Gardens,BN2 1QE,,Queen's Park,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
Sussex University Health Centre,Health Centre,University of Sussex,"Brighton,East Sussex",BN1 9RW,50.869439,-0.088808197,"University of Sussex Health Centre, Refectory Road, Brighton, BN1 9RW, United Kingdom",University of Sussex Health Centre,,Refectory Road,BN1 9RW,,,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
